Trial,Location,Lat,Lon,Year,rep,col,row,geno,yield
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,1,g001,1.22
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,2,g002,2.02
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,3,g003,1.49
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,4,g004,1.499
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,5,g005,1.903
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,6,g006,3.066
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,7,g007,1.782
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,8,g008,0.982
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,9,g009,2.04
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,10,g010,1.659
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,11,g011,2.281
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,12,g012,2.231
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,13,g013,3.442
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,14,g014,2.804
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,15,g015,3.029
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,16,g016,3.103
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,17,g017,4.035
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,18,g018,2.58
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,19,g019,2.934
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,20,g020,3.123
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,21,g021,1.484
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,22,g022,2.033
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,24,g023,3.393
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,25,g024,2.02
CM08,Coomalbidgup,-33.8,120.64,2008,1,1,26,g025,2.692
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,1,g026,2.292
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,2,g027,2.723
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,3,g028,1.73
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,4,g029,2.578
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,5,g030,2.385
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,6,g031,1.96
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,7,g032,2.18
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,8,g033,1.644
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,9,g034,1.807
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,10,g035,0.67
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,11,g036,1.848
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,12,g037,1.519
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,13,g038,3.295
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,14,g039,2.631
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,15,g040,2.741
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,16,g041,2.646
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,17,g042,1.646
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,18,g043,2.536
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,19,g044,1.932
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,20,g045,2.306
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,21,g046,1.791
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,22,g047,2.128
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,23,g048,1.407
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,24,g049,1.982
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,25,g050,2.117
CM08,Coomalbidgup,-33.8,120.64,2008,1,2,26,g051,2.13
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,1,g052,2.62
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,2,g053,2.853
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,3,g054,2.971
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,4,g055,2.328
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,5,g056,2.53
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,6,g057,2.295
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,7,g058,1.982
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,8,g059,2.244
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,9,g060,2.07
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,10,g061,1.532
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,11,g062,2.073
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,12,g063,2.971
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,13,g064,1.343
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,14,g065,3.134
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,15,g066,2.158
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,16,g067,2.6
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,17,g068,2.369
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,18,g069,2.084
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,19,g070,1.774
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,20,g071,2.242
CM08,Coomalbidgup,-33.8,120.64,2008,1,3,21,g072,2.4
